Unnamed: 0,claim_id,claim,claim_label,evidences,stance_label,rationale,confidence
792,1648,A variety of different measurements find steadily rising sea levels over the past century.,SUPPORTS,"[{'evidence_id': 'Global warming:146', 'evidence_label': 'SUPPORTS', 'article': 'Global warming', 'evidence': 'Between 1993 and 2017, the global mean sea level rose on average by 3.1 ±\xa00.3\xa0mm per year, with an acceleration detected as well.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Sea level rise:0', 'evidence_label': 'SUPPORTS', 'article': 'Sea level rise', 'evidence': 'Since at least the start of the 20th century, the average global sea level has been rising.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Sea level rise:1', 'evidence_label': 'SUPPORTS', 'article': 'Sea level rise', 'evidence': 'Between 1900 and 2016, the sea level rose by 16–21\xa0cm (6.3–8.3\xa0in).', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Sea level rise:2', 'evidence_label': 'SUPPORTS', 'article': 'Sea level rise', 'evidence': 'More precise data gathered from satellite radar measurements reveal an accelerating rise of 7.5\xa0cm (3.0\xa0in) from 1993 to 2017, which is a trend of roughly 30\xa0cm (12\xa0in) per century.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Sea level rise:26', 'evidence_label': 'SUPPORTS', 'article': 'Sea level rise', 'evidence': 'Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410\xa0ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}]",SUPPORTS,"States observational evidence of century-scale sea level rise, which supports ongoing global warming and climate change.",0.89
824,1698,Around 97% of climate experts agree that humans are causing global warming.,DISPUTED,"[{'evidence_id': '21st century:490', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': '21st century', 'evidence': 'Climate scientists have reached a consensus that the earth is undergoing significant anthropogenic (human-induced) global warming.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Climate change denial:127', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Climate change denial', 'evidence': 'Several researchers have concluded that around 97% of climate scientists agree with this consensus.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Global warming:276', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Global warming', 'evidence': 'In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Scientific consensus on climate change:10', 'evidence_label': 'SUPPORTS', 'article': 'Scientific consensus on climate change', 'evidence': 'Of these, 97% agree, explicitly or implicitly, that global warming is happening and is human-caused.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Scientific consensus on climate change:266', 'evidence_label': 'REFUTES', 'article': 'Scientific consensus on climate change', 'evidence': '97% of the scientists surveyed agreed that global temperatures had increased during the past 100 years; 84% said they personally believed human-induced warming was occurring, and 74% agreed that ""currently available scientific evidence"" substantiated its occurrence.', 'entropy': 0.0, 'votes': ['REFUTES', 'REFUTES', None, None, None]}]",SUPPORTS,"Asserts a strong scientific consensus that humans are causing global warming, affirming that climate change is occurring.",0.88
1042,2113,IPCC overestimate temperature rise,REFUTES,"[{'evidence_id': 'Global warming:0', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Global warming', 'evidence': ""Global warming is the long-term rise in the average temperature of the Earth's climate system."", 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', None, None, None]}, {'evidence_id': 'Global warming:22', 'evidence_label': 'REFUTES', 'article': 'Global warming', 'evidence': 'Currently, surface temperatures are rising by about 0.2\xa0°C per decade.', 'entropy': 0.0, 'votes': ['REFUTES', 'REFUTES', None, None, None]}, {'evidence_id': 'IPCC Fourth Assessment Report:162', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'IPCC Fourth Assessment Report', 'evidence': 'As global average temperature increase exceeds about 3.5°C, model projections suggest significant extinctions (40–70% of species assessed) around the globe.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', None, None, None]}, {'evidence_id': 'IPCC Fourth Assessment Report:63', 'evidence_label': 'REFUTES', 'article': 'IPCC Fourth Assessment Report', 'evidence': 'This range of values is not a projection of the temperature rise we will see in the 21st century, since the future change in carbon dioxide concentrations is unknown, and factors besides carbon dioxide concentrations affect temperature.', 'entropy': 0.0, 'votes': ['REFUTES', 'REFUTES', None, None, None]}, {'evidence_id': 'Richard Lindzen:87', 'evidence_label': 'REFUTES', 'article': 'Richard Lindzen', 'evidence': 'The IPCC (2007) estimates that the expected rise in temperature due to a doubling of CO2 to be about 3\xa0°C (5.4\xa0°F), ± 1.5°.', 'entropy': 0.0, 'votes': ['REFUTES', 'REFUTES', None, None, None]}]",REFUTES,"Asserts that the IPCC overestimates warming, thereby disputing the reported extent of recent global temperature rise.",0.76
142,320,"Globally averaged thermometers show two periods of warming since 1900: a half-degree from natural causes in the first half of the 20th century, before there was an increase in industrial carbon dioxide that was enough to produce it, and another half-degree in the last quarter of the century.",NOT_ENOUGH_INFO,"[{'evidence_id': '20th century:6', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': '20th century', 'evidence': 'The average global temperature on Earth has increased by about 0.8° Celsius (1.4° Fahrenheit) since 1880; Two-thirds of the warming has occurred since 1975, at a rate of roughly 0.15-0.20\xa0°C per decade.', 'entropy': 0.6931471805599453, 'votes': ['SUPPORTS', 'REFUTES', None, None, None]}, {'evidence_id': '20th century:94', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': '20th century', 'evidence': 'One argument is that of global warming occurring due to human-caused emission of greenhouse gases, particularly carbon dioxide produced by the burning of fossil fuels.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Carbon dioxide:192', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Carbon dioxide', 'evidence': 'Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.', 'entropy': 0.6931471805599453, 'votes': ['SUPPORTS', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Carbon dioxide:21', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Carbon dioxide', 'evidence': 'Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Global warming:55', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Global warming', 'evidence': 'Before the Industrial Revolution, naturally occurring amounts of greenhouse gases caused the air near the surface to be warmer by about 33\xa0°C (59\xa0°F) than it would be in their absence.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}]",SUPPORTS,"Affirms observed global warming since 1900 by describing two warming periods, including a recent half-degree rise in the last quarter of the century.",0.86
742,1567,IPCC overestimate temperature rise.,REFUTES,"[{'evidence_id': 'Global warming:0', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Global warming', 'evidence': ""Global warming is the long-term rise in the average temperature of the Earth's climate system."", 'entropy': 0.6365141682948128, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'IPCC Third Assessment Report:12', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'IPCC Third Assessment Report', 'evidence': 'The TAR estimate for the climate sensitivity is 1.5 to 4.5\xa0°C; and the average surface temperature is projected to increase by 1.4 to 5.8 Celsius degrees over the period 1990 to 2100, and the sea level is projected to rise by 0.1 to 0.9 metres over the same period.', 'entropy': 1.0986122886681096, 'votes': ['REFUTES', 'SUPPORTS', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Intergovernmental Panel on Climate Change:230', 'evidence_label': 'REFUTES', 'article': 'Intergovernmental Panel on Climate Change', 'evidence': 'Under the pledges of the countries entering the Paris Accord, a sharp rise of 3.1 to 3.7\xa0°C is still expected to occur by 2100.', 'entropy': 1.039720770839918, 'votes': ['REFUTES', 'SUPPORTS', 'NOT_ENOUGH_INFO', 'REFUTES', None]}, {'evidence_id': 'Intergovernmental Panel on Climate Change:686', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Intergovernmental Panel on Climate Change', 'evidence': '""Sea level rise \'under-estimated\'"".', 'entropy': 0.6365141682948128, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Scientific consensus on climate change:719', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Scientific consensus on climate change', 'evidence': 'On the basis of available data, climate scientists are now projecting an average global temperature rise over this century of 2.0 to 4.5°C.', 'entropy': 1.0986122886681096, 'votes': ['REFUTES', 'SUPPORTS', 'NOT_ENOUGH_INFO', None, None]}]",REFUTES,"Asserts the IPCC exaggerates temperature rise, disputing the reported extent of recent global warming.",0.78
1060,2147,An exponential increase in CO2 will result in a linear increase in temperature,NOT_ENOUGH_INFO,"[{'evidence_id': 'Creep (deformation):81', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Creep (deformation)', 'evidence': 'Coble creep is still temperature dependent, as the temperature increases so does the grain boundary diffusion.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Soil respiration:178', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Soil respiration', 'evidence': 'Due to the increase in temperature of the soil, CO2 levels in our atmosphere increase, and as such the mean average temperature of the Earth is rising.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Soil respiration:220', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Soil respiration', 'evidence': 'As stated earlier, the CO2 released by soil respiration is a greenhouse gas that will continue to trap energy and increase the global mean temperature if concentrations continue to rise.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None]}, {'evidence_id': 'Soil respiration:72', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Soil respiration', 'evidence': 'Temperature will increase respiration exponentially to a maximum, at which point respiration will decrease to zero when enzymatic activity is interrupted.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', None, None, None]}, {'evidence_id': 'Virial expansion:25', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Virial expansion', 'evidence': 'The third virial coefficient thus derived would increase monotonically as temperature is lowered from the critical point to the triple point.', 'entropy': 0.6931471805599453, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', None, None, None]}]",SUPPORTS,"Asserts that increasing CO2 causes temperature to rise, thereby affirming that warming occurs.",0.78
474,1050,"In Albany, New York, the high temperature of 74 degrees on Thursday was the warmest temperature on record for any day during the months of December, January and February.",NOT_ENOUGH_INFO,"[{'evidence_id': 'Albany, New York:162', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Albany, New York', 'evidence': 'Record temperature extremes range from −28\xa0°F (−33\xa0°C), on January 19, 1971, to 104\xa0°F (40\xa0°C) on July 4, 1911.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Chicago:217', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Chicago', 'evidence': ""The normal winter high from December through March is about 36\xa0°F (2\xa0°C), with January and February being the coldest months; January 2019's polar vortex nearly broke the city's cold record of minus 27 degrees, which was set on January 20, 1985."", 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'December:0', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'December', 'evidence': 'January February March April May June July August September October November December December is the twelfth and final month of the year in the Julian and Gregorian Calendars and is the seventh and last of seven months to have a length of 31 days.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Humid subtropical climate:105', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Humid subtropical climate', 'evidence': 'Temperatures are very warm to hot but are not excessive: the average maximum in February is usually around 29\xa0°C (84\xa0°F) and in July around 21\xa0°C (70\xa0°F).', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Season:7', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Season', 'evidence': 'However, due to seasonal lag, June, July, and August are the warmest months in the Northern Hemisphere while December, January, and February are the warmest months in the Southern Hemisphere.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None]}]",SUPPORTS,"Reports a record-warm winter temperature in Albany, which is evidence of recent warming trends.",0.82
1044,2117,"Global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on  physics, not statistics.",SUPPORTS,"[{'evidence_id': 'Sea level rise:100', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Sea level rise', 'evidence': 'Using different satellites from 1992 to 2017 shows melt is increasing significantly over this period.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Sea level rise:171', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Sea level rise', 'evidence': 'For instance, Mercer published a study in 1978 predicting that anthropogenic carbon dioxide warming and its potential effects on climate in the 21st century could cause a sea level rise of around 5 metres (16\xa0ft) from melting of the West Antarctic ice-sheet alone.', 'entropy': 0.6365141682948128, 'votes': ['SUPPORTS', 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Sea level rise:49', 'evidence_label': 'SUPPORTS', 'article': 'Sea level rise', 'evidence': 'This network was used, in combination with satellite altimeter data, to establish that global mean sea-level rose 19.5\xa0cm (7.7\xa0in) between 1870 and 2004 at an average rate of about 1.44\xa0mm/yr (1.7\xa0mm/yr during the 20th century).', 'entropy': 0.6365141682948128, 'votes': ['SUPPORTS', 'SUPPORTS', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Sea level rise:51', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Sea level rise', 'evidence': 'This is an important confirmation of climate change simulations which predicted that sea level rise would accelerate in response to global warming.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None]}, {'evidence_id': 'Sea level rise:7', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Sea level rise', 'evidence': 'As climate research into past and present sea levels leads to improved computer models, projections have consistently increased.', 'entropy': 0.0, 'votes': ['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None]}]",SUPPORTS,Asserts long-term increasing global sea level—a clear indicator of ongoing climate change and warming—and thus supports the proposition.,0.86
643,1401,"As a result, the polar ice caps were quite likely more extensive than they had been since at least the 1920s.",NOT_ENOUGH_INFO,"[{'evidence_id': 'Cambrian:45', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Cambrian', 'evidence': 'There were likely polar ice caps and a series of glaciations, as the planet was still recovering from an earlier Snowball Earth.', 'entropy': 0.6931471805599453, 'votes': ['REFUTES', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Ice age:4', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Ice age', 'evidence': 'In the terminology of glaciology, ice age implies the presence of extensive ice sheets in both northern and southern hemispheres.', 'entropy': 0.6931471805599453, 'votes': ['REFUTES', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Ice age:89', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Ice age', 'evidence': 'There were extensive polar ice caps at intervals from 360 to 260 million years ago in South Africa during the Carboniferous and early Permian Periods.', 'entropy': 0.6931471805599453, 'votes': ['REFUTES', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Polar ice cap:16', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Polar ice cap', 'evidence': 'Both 2008 and 2009 had a minimum Arctic sea ice extent somewhat above that of 2007.', 'entropy': 0.6931471805599453, 'votes': ['REFUTES', 'NOT_ENOUGH_INFO', None, None, None]}, {'evidence_id': 'Polar ice cap:29', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Polar ice cap', 'evidence': 'The single-day maximum extent in 2014 was reached on 20 Sep, according to NSIDC data, when the sea ice covered 7.78 million square miles (20.14 million square kilometers).', 'entropy': 0.6931471805599453, 'votes': ['REFUTES', 'SUPPORTS', None, None, None]}]",REFUTES,"Claims polar ice caps were more extensive than since the 1920s, implying reduced warming and disputing recent global warming trends.",0.78
1439,2915,"""Pollution; none of us are supporting putting substances into the  atmosphere or the waterways that might be pollutants, but carbon dioxide  is not a pollutant.",DISPUTED,"[{'evidence_id': 'Air pollution:211', 'evidence_label': 'NOT_ENOUGH_INFO', 'article': 'Air pollution', 'evidence': 'These dangerous pollutants are known as the criteria pollutants, and include ozone, particulate matter, sulfur dioxide, nitrogen dioxide, carbon monoxide, and lead.', 'entropy': 1.0986122886681096, 'votes': ['NOT_ENOUGH_INFO', 'REFUTES', 'SUPPORTS', None, None]}, {'evidence_id': 'Air pollution:22', 'evidence_label': 'REFUTES', 'article': 'Air pollution', 'evidence': 'Pollutants emitted into the atmosphere by human activity include: Carbon dioxide (CO 2) – Because of its role as a greenhouse gas it has been described as ""the leading pollutant"" and ""the worst climate pollutant"".', 'entropy': 0.0, 'votes': ['REFUTES', 'REFUTES', 'REFUTES', None, None]}, {'evidence_id': 'Fossil fuel power station:81', 'evidence_label': 'REFUTES', 'article': 'Fossil fuel power station', 'evidence': 'In these modern designs, pollution from coal-fired power plants comes from the emission of gases such as carbon dioxide, nitrogen oxides, and sulfur dioxide into the air, as well a significant volume of wastewater which may contain lead, mercury, cadmium and chromium, as well as arsenic, selenium and nitrogen compounds (nitrates and nitrites).', 'entropy': 0.6365141682948128, 'votes': ['REFUTES', 'SUPPORTS', 'REFUTES', None, None]}, {'evidence_id': 'Fossil fuel power station:9', 'evidence_label': 'SUPPORTS', 'article': 'Fossil fuel power station', 'evidence': 'Flue gas from combustion of the fossil fuels contains carbon dioxide and water vapor, as well as pollutants such as nitrogen oxides (NOx), sulfur oxides (SOx), and, for coal-fired plants, mercury, traces of other metals, and fly ash.', 'entropy': 0.0, 'votes': ['SUPPORTS', 'SUPPORTS', 'SUPPORTS', None, None]}, {'evidence_id': 'Pollution:59', 'evidence_label': 'SUPPORTS', 'article': 'Pollution', 'evidence': 'Common gaseous pollutants include carbon monoxide, sulfur dioxide, chlorofluorocarbons (CFCs) and nitrogen oxides produced by industry and motor vehicles.', 'entropy': 0.6365141682948128, 'votes': ['NOT_ENOUGH_INFO', 'SUPPORTS', 'SUPPORTS', None, None]}]",REFUTES,"Argues that CO2 is not a pollutant, minimizing the harmful role of a key greenhouse gas and disputing the basis for anthropogenic global warming.",0.82
